FIPS,Recip_County,Recip_State,Series_Complete_18PlusPop_Pct,Census2019_18PlusPop,Deaths,Confirmed
17077,Jackson County,IL,59.4,46322.0,23,8098
26145,Saginaw County,MI,63.3,149676.0,188,17895
49011,Davis County,UT,81.0,242674.0,104,43610
13001,Appling County,GA,46.1,13873.0,24,1341
40047,Garfield County,OK,63.6,45374.0,77,4762
54065,Morgan County,WV,47.5,14711.0,17,1682
19145,Page County,IA,62.5,12277.0,10,589
48265,Kerr County,TX,60.2,42636.0,44,2737
06115,Yuba County,CA,68.4,57075.0,25,8155
53039,Klickitat County,WA,55.2,18140.0,17,1607
21067,Fayette County,KY,76.0,255988.0,160,47368
13167,Johnson County,GA,41.9,7827.0,11,732
45005,Allendale County,SC,68.3,7033.0,3,786
51071,Giles County,VA,54.2,13311.0,12,1807
13311,White County,GA,43.1,24763.0,32,2166
39149,Shelby County,OH,46.0,36627.0,30,3406
21099,Hart County,KY,45.3,14360.0,28,1764
72029,Canovanas Municipio,PR,84.2,36116.0,0,6284
26011,Arenac County,MI,60.6,12193.0,21,1107
20115,Marion County,KS,58.5,9378.0,10,1288
21005,Anderson County,KY,67.3,17402.0,14,3076
19073,Greene County,IA,70.7,6853.0,4,479
21231,Wayne County,KY,50.6,16211.0,21,2797
01009,Blount County,AL,39.4,44571.0,49,4691
55107,Rusk County,WI,49.2,11295.0,18,953
51031,Campbell County,VA,47.7,44243.0,66,6246
51037,Charlotte County,VA,46.8,9396.0,15,1247
18087,LaGrange County,IN,32.4,26804.0,10,1305
48177,Gonzales County,TX,64.6,15272.0,14,1295
38019,Cavalier County,ND,72.5,2910.0,0,298
48065,Carson County,TX,56.6,4540.0,8,386
17025,Clay County,IL,48.1,10200.0,13,1712
39003,Allen County,OH,54.6,78859.0,85,8068
19179,Wapello County,IA,61.5,27034.0,53,2402
22057,Lafourche Parish,LA,55.3,75129.0,62,11581
36035,Fulton County,NY,63.7,42633.0,41,5235
35041,Roosevelt County,NM,47.2,13995.0,25,1916
37113,Macon County,NC,70.2,29260.0,36,3267
37123,Montgomery County,NC,53.5,21266.0,23,2867
22071,Orleans Parish,LA,79.2,312864.0,127,45546
51036,Charles City County,VA,86.2,5939.0,7,466
08033,Dolores County,CO,50.8,1655.0,2,94
27131,Rice County,MN,72.3,52435.0,41,6582
39053,Gallia County,OH,57.8,23088.0,33,3269
20029,Cloud County,KS,59.3,6750.0,9,526
42113,Sullivan County,PA,59.2,5428.0,8,382
21117,Kenton County,KY,72.6,127578.0,122,17908
01119,Sumter County,AL,59.8,10067.0,10,1329
39067,Harrison County,OH,52.5,11932.0,10,1036
16085,Valley County,ID,70.4,9310.0,3,1218
39001,Adams County,OH,44.0,21111.0,28,2536
20089,Jewell County,KS,56.0,2293.0,3,210
30105,Valley County,MT,58.2,5726.0,6,456
17175,Stark County,IL,63.6,4196.0,8,637
18021,Clay County,IN,71.1,20232.0,27,2220
08047,Gilpin County,CO,63.3,5333.0,2,479
17097,Lake County,IL,88.3,530369.0,284,78483
39155,Trumbull County,OH,65.0,157776.0,170,12934
31167,Stanton County,NE,35.8,4477.0,0,94
19153,Polk County,IA,79.3,369162.0,272,46454
48099,Coryell County,TX,73.5,58799.0,46,6139
51197,Wythe County,VA,46.3,23009.0,31,3072
49035,Salt Lake County,UT,82.5,851292.0,367,149731
16011,Bingham County,ID,63.8,32589.0,26,2910
48005,Angelina County,TX,59.3,64658.0,58,3061
05145,White County,AR,53.5,60632.0,94,9036
31029,Chase County,NE,42.4,2952.0,2,130
37039,Cherokee County,NC,69.0,23877.0,36,2685
42107,Schuylkill County,PA,71.1,113561.0,145,10687
34011,Cumberland County,NJ,63.1,114047.0,104,17872
45073,Oconee County,SC,53.7,63765.0,88,8805
26031,Cheboygan County,MI,64.3,21172.0,29,1508
05113,Polk County,AR,44.5,15424.0,22,1205
39055,Geauga County,OH,72.0,72542.0,45,4053
36049,Lewis County,NY,62.9,20288.0,10,1869
55105,Rock County,WI,81.9,125952.0,121,18702
21011,Bath County,KY,66.7,9305.0,15,1511
22037,East Feliciana Parish,LA,46.8,15710.0,25,2897
53011,Clark County,WA,76.0,373555.0,270,51892
28009,Benton County,MS,63.3,6498.0,9,786
17061,Greene County,IL,53.2,10200.0,6,1283
48229,Hudspeth County,TX,83.4,3869.0,4,312
22065,Madison Parish,LA,56.3,8347.0,3,1185
26073,Isabella County,MI,50.4,57748.0,60,5188
46135,Yankton County,SD,76.5,18012.0,15,1774
26043,Dickinson County,MI,79.7,20178.0,22,2858
18155,Switzerland County,IN,40.5,8103.0,6,715
27173,Yellow Medicine County,MN,69.2,7466.0,6,692
38033,Golden Valley County,ND,36.3,1379.0,0,96
01063,Greene County,AL,61.1,6343.0,6,670
47157,Shelby County,TN,67.5,704412.0,725,88238
39045,Fairfield County,OH,68.3,119925.0,88,13495
01125,Tuscaloosa County,AL,51.8,165385.0,139,23634
28133,Sunflower County,MS,63.0,19671.0,17,1546
55091,Pepin County,WI,57.8,5768.0,3,615
48339,Montgomery County,TX,66.8,448951.0,174,57794
40145,Wagoner County,OK,58.1,61809.0,58,9600
72131,San Sebastian Municipio,PR,91.3,29221.0,0,7381
13063,Clayton County,GA,54.5,211634.0,215,23157
05131,Sebastian County,AR,59.9,97154.0,124,11029
20139,Osage County,KS,62.1,12260.0,21,1578
48393,Roberts County,TX,44.1,656.0,1,43
21229,Washington County,KY,62.5,9311.0,11,1597
12111,St. Lucie County,FL,68.2,264186.0,594,31288
54051,Marshall County,WV,53.4,24696.0,25,3786
18041,Fayette County,IN,50.4,18107.0,40,2047
